Timestamp,EventType,Name,FullPath,OldFullPath,Extension,Length,CreationTime,LastWriteTime
"2026-02-16T11:52:20.2646619+01:00","Created","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",2506787,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:52:19.8206131+01:00"
"2026-02-16T11:52:20.3592899+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",2506787,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:52:19.8206131+01:00"
"2026-02-16T11:52:20.5664718+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",2506787,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:52:19.8206131+01:00"
"2026-02-16T11:55:01.6641748+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",3802478,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:55:01.3006657+01:00"
"2026-02-16T11:55:01.6669055+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",3802478,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:55:01.3006657+01:00"
"2026-02-16T11:55:01.6800673+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",3802478,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:55:01.3006657+01:00"
"2026-02-16T11:57:03.6891995+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",5098056,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:57:03.1811048+01:00"
"2026-02-16T11:57:03.6891995+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",5098056,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:57:03.1811048+01:00"
"2026-02-16T11:57:03.8950526+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",5098056,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:57:03.1811048+01:00"
"2026-02-16T11:59:10.6899494+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",6397920,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:59:10.2314929+01:00"
"2026-02-16T11:59:10.6899494+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",6397920,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:59:10.2314929+01:00"
"2026-02-16T11:59:10.7060394+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",6397920,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T11:59:10.2314929+01:00"
"2026-02-16T12:02:01.2351309+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",7722236,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T12:02:00.5866263+01:00"
"2026-02-16T12:02:01.2351309+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",7722236,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T12:02:00.5866263+01:00"
"2026-02-16T12:02:01.4577999+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","",".ZS2",7722236,"2026-02-16T11:52:20.0739403+01:00","2026-02-16T12:02:00.5866263+01:00"
"2026-02-16T12:02:33.4903354+01:00","Created","LGr-ipat-VCpure_260123_r2r_T85.xlsx","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.xlsx","",".xlsx",36745016,"2026-02-16T12:02:33.2830520+01:00","2026-02-16T12:02:32.9992078+01:00"
"2026-02-16T12:02:33.4903354+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.xlsx","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.xlsx","",".xlsx",36745016,"2026-02-16T12:02:33.2830520+01:00","2026-02-16T12:02:32.9992078+01:00"
"2026-02-16T12:02:33.5026826+01:00","Changed","LGr-ipat-VCpure_260123_r2r_T85.xlsx","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.xlsx","",".xlsx",36745016,"2026-02-16T12:02:33.2830520+01:00","2026-02-16T12:02:32.9992078+01:00"
"2026-02-16T12:02:34.1257883+01:00","Deleted","LGr-ipat-VCpure_260123_r2r_T85.xlsx","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.xlsx","","",,"",""
"2026-02-16T12:02:38.2773823+01:00","Deleted","LGr-ipat-VCpure_260123_r2r_T85.ZS2","C:\Users\messrechner\Desktop\Upload\LGr-ipat-VCpure_260123_r2r_T85.ZS2","","",,"",""
